GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nart,com.nart.handler,AllExceptionHander,0,8,0,0,0,3,0,2,0,2
nart,com.nart.handler,LoginInterceptor,0,57,0,6,0,21,0,8,0,5
nart,com.nart.handler,WebSocketListener,0,10,0,0,0,4,0,3,0,3
nart,com.nart,TestApplication,5,3,0,0,2,1,1,1,1,1
nart,com.nart.util,AlbumType,0,54,0,0,0,2,0,1,0,1
nart,com.nart.util,ProgressBar,0,147,0,4,0,22,0,6,0,4
nart,com.nart.util,SpringUtil,0,30,0,2,0,8,0,6,0,5
nart,com.nart.util,ErrorCode,0,577,0,0,0,49,0,6,0,6
nart,com.nart.util,UserThreadLocal,0,16,0,0,0,6,0,4,0,4
nart,com.nart.util,RandomContentGenerator,0,207,0,23,0,45,0,22,0,9
nart,com.nart.util,RedisUtil,0,113,0,12,0,26,0,18,0,12
nart,com.nart.util,GsonFormatter,0,17,0,0,0,4,0,4,0,4
nart,com.nart.util,Result,26,230,18,20,0,9,15,20,0,16
nart,com.nart.util,EncryptUtil,0,103,0,2,0,25,0,8,0,7
nart,com.nart.config,WebSocketConfig,0,30,0,2,0,8,0,5,0,4
nart,com.nart.config,MybatisPlusConfig,0,14,0,0,0,4,0,2,0,2
nart,com.nart.config,RedisConfig,0,35,0,0,0,8,0,2,0,2
nart,com.nart.config,WebMVCConfig,0,132,0,0,0,16,0,4,0,4
nart,com.nart.config,ThreadPoolConfig,0,29,0,0,0,10,0,2,0,2
nart,com.nart.vo,CommentVo,24,221,14,24,0,14,14,19,0,14
nart,com.nart.vo,FriendVo,29,280,17,29,0,20,17,23,0,17
nart,com.nart.vo,WSMsg,67,274,37,25,0,8,30,20,0,19
nart,com.nart.vo,DateVo,23,303,10,12,2,40,10,20,0,19
nart,com.nart.vo,UserVo,51,486,30,50,0,33,30,37,0,27
nart,com.nart.vo,RequestVo,34,300,20,34,0,17,20,26,0,19
nart,com.nart.vo,PageVo,16,92,4,6,0,8,6,9,2,8
nart,com.nart.vo,GroupVo,45,321,24,34,2,23,23,25,0,19
nart,com.nart.vo,MessageVo,53,530,35,51,0,50,34,36,0,27
nart,com.nart.vo,StatusVo,61,605,36,52,1,67,34,38,0,28
nart,com.nart.vo,InviteVo,39,338,23,39,0,18,23,29,0,21
nart,com.nart.util.upload,ImgtuUtil,438,332,39,31,82,67,37,17,6,12
nart,com.nart.util.upload,FileType,9,14,3,1,4,3,4,1,1,1
nart,com.nart.util.upload,HttpUtil,94,116,8,6,15,33,8,6,2,5
nart,com.nart.pojo,UserLike,31,138,17,13,0,4,14,12,0,11
nart,com.nart.pojo,GroupChat,37,278,21,29,0,8,20,24,0,19
nart,com.nart.pojo,Comment,34,264,20,34,0,7,20,24,0,17
nart,com.nart.pojo,Group,49,350,29,37,0,14,27,30,0,24
nart,com.nart.pojo,User,110,704,64,86,0,19,60,56,0,41
nart,com.nart.pojo,FriendReq,37,218,21,25,0,6,19,19,0,15
nart,com.nart.pojo,Status,39,328,23,41,0,9,23,30,0,21
nart,com.nart.pojo,FriendChat,40,284,23,33,0,8,22,25,0,19
nart,com.nart.pojo,GroupInvite,46,252,26,28,0,7,23,21,0,17
nart,com.nart.pojo,Message,51,230,28,20,0,7,23,18,0,17
nart,com.nart.pojo,DataCounter,23,190,12,12,0,7,11,18,0,17
nart,com.nart.pojo,UserGroup,44,220,24,18,0,7,20,18,0,17
nart,com.nart.pojo,Friend,68,488,40,62,0,13,39,41,0,29
nart,com.nart.controller,UploadController,45,22,10,0,13,4,6,2,1,2
nart,com.nart.controller,StatusController,0,248,0,18,0,58,0,14,0,5
nart,com.nart.controller,AdminController,0,246,0,24,0,65,0,25,0,13
nart,com.nart.controller,UserController,0,98,0,6,0,21,0,10,0,7
nart,com.nart.controller,ChatController,0,155,0,18,0,40,0,13,0,4
nart,com.nart.controller,GroupController,0,161,0,18,0,44,0,19,0,10
nart,com.nart.controller,FriendController,0,152,0,20,0,43,0,19,0,9
nart,com.nart.controller,CommentController,0,56,0,4,0,13,0,5,0,3
nart,com.nart.common,ChatEndPoint,3,157,0,6,2,44,0,10,0,7
nart,com.nart.common,LogAspect,0,162,0,2,0,23,0,6,0,5
nart,com.nart.service.impl,AdminServiceImpl,0,248,0,10,0,64,0,18,0,13
nart,com.nart.service.impl,CommentServiceImpl,0,142,0,8,0,35,0,8,0,4
nart,com.nart.service.impl,UserServiceImpl,0,434,0,44,0,95,0,33,0,11
nart,com.nart.service.impl,DataCounterServiceImpl,0,83,0,10,0,26,0,11,0,6
nart,com.nart.service.impl,GroupServiceImpl,0,691,0,36,0,167,0,31,0,13
nart,com.nart.service.impl,LoginServiceImpl,0,228,0,22,0,47,0,16,0,5
nart,com.nart.service.impl,FriendServiceImpl,0,598,0,34,0,139,0,27,0,10
nart,com.nart.service.impl,LoadDataInDataBaseImpl,0,650,0,62,0,150,0,44,0,13
nart,com.nart.service.impl,StatusServiceImpl,0,287,0,20,0,71,0,17,0,7
nart,com.nart.service.impl,ChatServiceImpl,3,470,0,26,2,108,0,24,0,11
